ProbeID	GSM1843834_BCR_T100_Probe40.CEL	GSM1843835_BCR_T101_Probe44.CEL	GSM1843836_BCR_T102_Probe49.CEL	GSM1843837_BCR_T103_Probe2.CEL	GSM1843838_BCR_T104_Probe8.CEL	GSM1843839_BCR_T105_Probe14.CEL	GSM1843840_BCR_T96_Probe20.CEL	GSM1843841_BCR_T97_Probe25.CEL	GSM1843842_BCR_T98_Probe30.CEL	GSM1843843_BCR_T99_Probe35.CEL	GSM1843844_ctrl_T100_Probe39.CEL	GSM1843845_ctrl_T101_Probe43.CEL	GSM1843846_ctrl_T102_Probe48.CEL	GSM1843847_ctrl_T103_Probe1.CEL	GSM1843848_ctrl_T104_Probe7.CEL	GSM1843849_ctrl_T105_Probe13.CEL	GSM1843850_ctrl_T96_Probe19.CEL	GSM1843851_ctrl_T97_Probe24.CEL	GSM1843852_ctrl_T98_Probe29.CEL	GSM1843853_ctrl_T99_Probe34.CEL
1556183_at	8.877466404	6.044015808	6.381320635	8.787843779	8.493474762	8.454887888	7.898094754	7.80014472	7.967845201	8.242662829	10.27857723	9.00174991	8.63653672	9.748335723	9.549034265	9.555124772	9.105700823	9.227247141	8.990083201	9.663564614
1556385_at	6.302322776	6.636702503	6.40902149	7.261176933	7.042762391	7.392446554	6.985703082	6.79689614	6.79113962	6.451667688	7.505353462	8.385463594	8.384917709	8.272168038	8.194286643	8.113284071	7.674701999	8.088237302	7.980867719	6.912601282
1556474_a_at	5.605298187	4.461715869	4.463091202	5.53102787	5.428826261	5.187975795	6.378916561	6.056732012	6.416378914	4.673992256	3.617387796	3.709582285	3.183102917	4.298022964	4.50732623	4.160645342	3.650901741	3.540793947	3.72497909	3.932019377
1557309_at	6.152894224	5.961656726	5.538991398	6.25172776	6.286799778	6.308574496	6.528952618	6.615168085	6.363440574	5.85543707	5.377072093	4.390096292	3.988145593	5.186748959	5.126615175	5.412451693	5.370271452	4.981228865	5.335681627	4.812810231
1557415_s_at	6.721980365	7.041044442	6.967256585	6.838583495	6.759679128	6.971052528	7.637321489	7.472517676	7.641001113	6.552703208	5.849942787	6.251601451	5.534586854	6.00106486	5.997981213	5.839066124	6.341657771	6.495846826	6.417892169	5.210370326
1557512_at	7.579382488	7.71962082	7.267157045	7.324690575	7.46193461	7.508936304	7.645186365	7.669043641	7.746919643	6.753430822	5.482444087	5.710328661	4.829111646	5.838012796	5.96957385	5.627241669	5.642594881	5.704996062	5.841929428	5.454445373
1558185_at	4.339406204	4.388197306	4.162423283	5.927065277	5.703154178	5.550906579	5.614025668	5.424182797	5.555743173	4.068500588	6.483852833	7.224601202	6.405710749	6.890187635	6.276364285	6.591364339	7.371052331	7.340636674	7.368869619	5.460337031
1558186_s_at	5.126677549	5.960893631	5.143144014	6.328601446	5.899819963	5.65410808	6.104238734	6.110037258	6.048931305	5.294899994	6.840722766	7.47146312	7.100843668	6.857734714	6.704942912	6.669630986	7.759876792	7.875311386	7.61212338	6.499807396
1558511_s_at	12.34637943	12.61537669	12.61404847	12.29236615	12.33570311	12.392182	12.55909285	12.47700106	12.4176011	12.59965243	9.836278567	10.55378664	10.65960714	10.98074099	11.13731875	11.26045459	10.81960845	10.63969266	10.96497563	9.762142973
1558692_at	6.382319126	6.677249967	5.983713338	5.85895844	5.949998204	6.216240559	6.765415756	6.40370652	6.587234959	5.858029777	4.718426137	5.138009438	4.521640503	4.858891188	5.166258598	5.176426604	5.66884545	5.45223094	5.554740498	4.71816125
1558733_at	8.068743372	7.868428459	7.462403862	7.991206085	7.787770476	7.843130348	8.216984423	8.323843474	8.370941554	7.456412624	7.208464164	6.702075866	6.041178208	7.248714442	7.129859922	6.976359474	6.674965326	6.858285075	6.595490276	6.701461819
1558826_at	4.744636633	5.140306088	4.291771479	6.127977693	5.811074181	5.74152062	5.237696157	5.251802663	5.418458461	4.555971746	6.06522606	6.105782604	5.70454915	7.006170927	7.113699752	7.049263076	6.982196334	6.869151553	6.92223551	5.218699417
1558827_a_at	5.291860225	5.226700302	4.869557861	6.387836292	6.327666512	6.140518579	6.083714704	6.180217874	6.061067079	4.220031495	7.035007613	7.425246125	6.542590674	7.71079695	7.60654186	7.821586154	7.828288014	7.67781613	7.775778207	5.93850401
1558924_s_at	9.654519985	9.650755894	9.154654017	9.066996648	8.808141118	8.962321555	9.729085212	9.721327672	9.753889142	9.153641129	8.131555242	8.27950794	6.882927326	8.051195535	7.88862434	7.848363302	8.240905463	8.246907696	8.179506331	7.188835264
1559278_at	4.316934966	4.3309661	4.526716644	4.270753466	4.708167923	4.50238437	5.611936075	5.037366424	5.0102747	3.793738965	3.402341543	3.334937413	3.424551424	2.904357268	3.451171122	3.241824365	3.472647533	3.665523524	3.408598085	3.565649846
1559374_at	5.225274762	4.066505145	3.569051371	5.652180711	5.57298498	5.759285334	5.956138736	5.441548665	5.763556691	4.295142429	3.61981218	3.69372117	3.614130402	4.190296804	4.297502153	4.180454877	3.873910236	4.045684532	3.790541315	3.784895586
1559375_s_at	7.085928705	6.297163118	6.121231886	7.46003827	7.286543531	7.381756175	7.343417481	7.243318089	7.317202085	6.69393488	5.917205132	5.676483018	5.177043395	6.055355941	5.853293906	6.041001163	5.641065818	5.574874782	5.543247069	5.255005452
1559584_a_at	8.164832571	7.157026733	7.068817883	8.484360401	8.384710943	8.074854729	7.575146836	7.751127917	7.663490007	8.206185444	9.291755569	9.459979397	7.783824413	9.203610937	9.335610535	9.500021864	9.305288894	8.836804025	9.35825298	9.095256758
1559739_at	4.163791308	4.51478569	4.084530926	5.346420289	5.167508238	5.202669893	4.881940905	5.095829395	5.322342468	3.962472448	5.684341493	6.572461693	4.568429376	6.289594633	6.145331458	6.0914017	6.341041973	6.180631557	6.296379076	5.461616309
1559932_at	6.706187972	7.270745977	7.566493741	6.419626634	6.289956162	6.400551278	6.922750593	7.104183146	7.080597261	6.574828366	5.343802661	6.027756811	4.891279365	5.470187619	5.563789744	5.711125091	5.580316443	5.89740766	5.736816207	5.33429979
1560397_s_at	11.32541917	11.33008324	11.19816447	11.31240661	11.11499176	11.15523348	11.14609478	11.17825511	11.16170518	11.18098377	10.50562551	10.10045898	9.016967947	10.17747288	10.08507089	10.06968769	10.05305028	10.02928739	9.993995798	10.42373066
1561017_at	6.402439411	6.634199332	6.089284339	7.028180852	6.958925618	6.939828165	7.360172747	7.359923462	7.31261263	6.022305378	5.213728982	5.085116974	4.254750969	5.337300968	5.459155395	5.350333534	6.291279805	6.440552365	6.347836114	4.746587999
1561042_at	6.250300699	6.693385655	5.897209593	6.713468076	6.786831587	6.888211899	7.232002339	7.072453606	7.053669429	5.874140483	5.018703068	5.780084107	5.719234755	5.853650809	5.739476012	5.546751325	6.144548663	6.214558706	6.18361126	4.079009692
1561507_at	8.178574791	7.897338829	7.53487302	7.765328657	7.82239121	7.706477649	8.221998786	8.20449534	8.277585108	7.641268211	5.434706517	5.438824955	4.571822694	5.587021474	5.60055239	5.450763608	5.747629153	5.601804182	5.523858189	5.299837968
1562368_at	8.514601146	7.667376309	7.382708459	9.04201899	9.066535755	9.003092	8.380829745	8.309278381	8.459097914	7.495064401	7.510534901	7.351798391	6.784724344	7.881335204	7.686660489	7.720306534	7.021991404	7.095410067	7.090192886	6.455117777
1562921_at	7.85499109	6.451293988	5.672048141	7.511247016	8.068220423	7.729045669	7.904946288	8.110275722	7.909103293	6.844439419	5.213728982	4.612518822	3.792317607	5.699293413	5.589267032	5.790791964	5.603860467	5.513309464	5.488158807	4.172136462
1563370_at	7.520300232	8.08043952	7.742584561	7.449680029	7.318180201	7.152697142	8.407376695	8.234137366	8.40699884	7.031854552	5.040212554	5.535904816	6.059065463	5.680070123	6.061268768	6.18494844	6.744657467	6.880827356	6.871262193	5.451693608
1563638_at	6.881791026	5.466929467	4.994154979	6.753918068	6.379342702	6.779806821	7.366478939	7.188145961	7.068433008	6.143302946	4.902813944	4.335805924	4.826485518	4.660137787	4.837814038	4.696795241	5.315930371	5.380003624	5.275649444	5.298688745
1564164_at	7.047190457	7.819963256	7.360721825	8.053110987	7.704008938	7.637568468	7.554394639	7.222512197	7.283980019	6.753842697	6.076499605	5.746564322	4.466848824	6.820002965	6.664796677	6.62306291	5.488606391	5.344735561	5.187674969	5.371660032
1564424_at	9.776056776	9.337325697	8.780825709	10.20069431	10.23667494	10.18919753	9.125762599	9.278066482	9.229763804	9.685997763	6.523912114	6.553898398	5.692563149	7.820450415	7.782560781	7.780948676	6.325776684	6.375569942	6.217595792	6.308706747
1564733_at	8.075132972	8.686917105	8.088713269	7.854266157	7.968127774	8.053211757	8.049975235	8.009466965	7.97759804	7.840788108	6.687785288	6.250332787	5.817923336	7.246120319	6.961904682	7.150192743	6.109257214	6.105016803	6.079694773	6.631002844
1564970_at	9.075758813	8.651640216	8.186765457	9.597902094	9.413682956	9.340752136	9.046674321	8.965849583	8.919534143	8.34799854	7.912229892	7.585484373	6.333304004	8.360801395	8.223724476	8.206163694	7.676594853	7.760441442	7.595534593	7.286250435
1564972_x_at	8.503137121	8.130354459	7.508323656	8.89842498	8.618340362	8.800090808	8.4474083	8.369015068	8.478627136	8.145762188	7.292821141	7.0134766	6.15398549	7.328259105	7.610687273	7.618634507	7.220053695	7.201548262	7.162503584	7.008151019
1569040_s_at	9.165059088	6.727856602	5.576146769	8.321140811	8.394578413	8.334008829	7.974905293	8.102959494	7.677219115	9.117383006	10.52388852	9.211979625	8.507339454	9.550269021	9.716467378	9.746825285	9.506048966	9.270543021	9.532132192	10.40693326
1569099_at	7.489828267	5.798993751	5.915654654	7.201866339	6.852226619	6.905297146	7.757096181	7.829584523	7.77396742	6.634241564	4.542990385	4.525782966	4.884299193	4.406290736	4.691745449	4.462487689	5.419198047	5.529953051	5.472682259	3.521528339
1569100_a_at	8.732249359	7.264397048	6.879434303	8.502631303	8.075000237	8.112435243	9.177139547	9.358225738	9.082068521	7.178122749	5.480018675	4.786068646	4.28228581	5.204211989	5.063519601	4.870650688	6.172391692	6.1574028	6.139622215	3.717409637
1569484_s_at	6.253783147	6.504255442	6.037195438	7.149601557	7.337943662	7.222085105	6.816212474	6.552664859	6.602914317	5.793962731	5.176479432	5.693452166	4.482946689	6.079848508	6.526261849	6.601829496	5.424198031	5.42961255	5.483715057	4.695071253
1569551_at	5.12468119	4.84248065	4.853516458	5.59124598	5.130060593	5.206572569	4.809544057	5.050863768	5.003302818	5.04309588	6.84012499	6.966161825	5.655092207	6.375504074	6.90127115	6.709314961	6.952723263	7.237703206	6.862586803	6.416708776
1569552_at	3.641857343	3.566982905	2.419609283	3.822376215	3.227785358	3.501730936	3.652624687	3.345410799	3.566982905	2.913209509	4.975245889	4.52706476	3.539764987	4.303556341	4.589371408	4.30857509	4.672394567	4.78967393	4.614310544	3.505333186
1570505_at	6.696626333	7.553534474	7.247681	7.073733587	6.942345117	6.738146323	7.479715767	7.526388036	7.486213941	6.07417278	5.83172448	6.595635681	5.607194361	6.04482875	5.894381015	6.024671834	6.496860493	6.634681175	6.534547388	5.005547904
1570552_at	4.024841812	4.570520382	3.900726525	4.03651087	3.955574907	4.011318214	4.934710254	4.992294359	4.834980537	4.088522153	5.544534693	6.990414951	5.221856917	4.96642053	4.881113559	4.506464056	6.877414472	6.976833429	7.109080268	4.994279415
200900_s_at	10.38048253	10.02808133	9.93576388	9.948723885	9.797119766	9.673184512	10.39553918	10.49157955	10.36370844	9.910495239	9.28294315	9.03246537	9.37731108	9.076226356	8.868997032	8.853237638	9.273176579	9.341929327	9.254787879	8.481022353
200924_s_at	10.72550638	9.639839912	9.583547772	10.30409051	10.12008043	10.13215781	10.47017702	10.51334981	10.49968843	10.29994716	9.531409576	8.616525152	9.414112946	9.295397841	9.092313105	9.191647641	8.932770629	9.091754392	9.055984209	8.908197962
201008_s_at	6.174799507	6.439673463	6.220833882	6.954097074	6.763174398	6.79708374	5.922515389	5.610772877	5.817463267	6.55153816	7.554090057	8.249365532	6.597989938	7.607108923	7.553516208	7.406291335	7.611710081	7.408280452	7.630371988	7.315909622
201009_s_at	6.930400685	6.627990606	6.477076288	7.747526641	7.726680295	7.494508644	6.43181685	6.307372833	6.488595408	6.8153106	8.235040942	8.399581875	7.223558986	8.643130009	8.481855006	8.392904596	7.676705889	7.775562741	7.601990915	8.355946324
201010_s_at	7.545875942	7.279272237	7.454684456	8.429023462	8.473498018	8.369123925	6.865022103	6.880991024	6.961577418	7.127717498	9.05298137	9.547134796	8.161965694	9.23348636	9.185903703	9.129978261	8.995583932	9.065023891	9.023761799	8.49118787
201170_s_at	9.763140669	9.455283365	8.911281739	9.58458538	9.601574488	9.616337794	9.988449289	10.03344356	10.17290896	8.985815655	7.343147856	7.081130096	7.69874854	7.820485754	7.686667692	7.741447789	8.342008753	8.304213507	8.383951905	6.690480181
201295_s_at	8.036834213	7.167294313	6.837811437	7.964419583	7.716913449	7.505738158	8.594416052	8.526899065	8.40976315	7.066602772	6.420355918	5.893517093	5.929922184	6.495743152	6.565282983	6.554982139	6.024769681	6.02698382	6.09565896	5.345783586
201392_s_at	8.918419829	9.780578187	9.716692882	8.993887093	8.877238641	8.876499142	8.927734034	8.931348356	8.95706382	9.033400327	7.556907012	8.169297149	7.377663642	7.909303317	8.100765816	8.069733256	7.723624312	7.701712551	7.605618641	7.74579828
201393_s_at	10.3452205	9.699189027	9.805053549	10.19077461	10.11367172	10.15731458	10.60997689	10.58010324	10.60729664	9.764544736	9.166115597	8.803114554	8.705654624	9.198490893	9.204478098	9.291027631	9.376721257	9.532223301	9.382239098	7.996896378
201422_at	13.50410804	13.50438993	13.42044207	13.09018196	13.09323206	12.98089807	13.28134837	13.34150981	13.33957553	13.37659401	11.97322276	11.52842245	12.1996881	11.82643805	11.68911262	11.72574809	12.02521231	12.12996901	12.0066937	12.12699709
201462_at	8.536228006	8.241674246	7.920565999	8.950114015	8.695346199	8.681627975	8.633145279	8.593543621	8.637333699	7.946426064	9.676544781	9.995446488	10.30500724	9.600980465	9.476544178	9.395510381	9.728120231	9.727647877	9.755423995	9.450621901
201471_s_at	11.60908869	10.70498582	10.55161082	11.7877017	11.73075963	11.74409187	11.48419625	11.45378437	11.50727353	11.31398753	10.43643585	9.382698364	9.979625961	10.70294461	10.66126001	10.60730236	10.28307118	10.50179822	10.37321862	10.0264969
201669_s_at	7.851828246	7.58032636	7.530959924	9.111227426	9.109468835	9.237575604	8.268121729	8.225699839	8.113554079	7.234310379	8.834377857	9.6160684	11.29506631	9.56612366	9.878028179	9.855098076	9.990147615	9.948125586	9.933525232	8.274192592
201670_s_at	7.051781689	6.74118486	6.394077283	8.617698017	8.397797703	8.331712387	7.185030948	7.320800111	7.1300446	6.58014249	8.017382884	8.543385694	10.7635943	8.957463354	9.09136891	8.990847528	9.076521015	8.935794779	8.953074375	7.656127817
201693_s_at	8.584065641	7.849544961	7.896198886	8.697146409	8.522064709	8.296975086	8.332417819	8.325013848	8.348005046	8.376586422	7.797252618	7.302246825	5.803811513	7.812214047	7.490684599	7.582580142	7.374741847	7.376416127	7.300399745	7.151385627
201694_s_at	11.19998525	10.95042218	10.93210136	10.93084406	10.9134957	10.98713462	11.08828153	11.07719858	11.11478141	10.87485692	10.03170609	9.316360142	8.699017092	9.395745205	9.597838727	9.501510156	10.03443098	10.05993678	9.973173815	9.692767847
201823_s_at	9.743709325	8.374285023	8.127260386	9.184590672	8.974227781	9.129909617	9.763071898	9.711375696	9.788150124	9.035332859	7.909615198	7.113916422	7.273696607	7.633509523	7.696412739	7.750871566	8.063288168	7.969159455	8.11379935	6.532963001
201824_at	9.448907455	8.615241993	8.186492055	9.154909633	9.15059819	9.008476431	9.58038767	9.606567557	9.420408697	8.818429625	7.570205905	7.799303014	7.287100059	8.113925671	8.035809371	8.078166284	8.387824646	8.340883809	8.374284981	6.596831358
201887_at	4.06140555	4.79797903	5.342323682	5.488380794	5.063345402	5.076262935	5.095305438	5.14664216	5.024650972	4.825563558	6.193532333	7.433004606	8.312867152	6.147893991	5.912774597	6.142631808	7.320056268	7.075625723	7.238748722	5.861714449
201888_s_at	4.636882653	4.639242892	4.300501496	5.161422247	4.981835282	4.551191471	4.68813905	4.854740518	4.731165716	4.726564143	5.701876145	6.626966493	7.659638622	5.782521359	5.717611015	5.392011771	6.71248385	6.659237532	6.600555527	4.905555504
201920_at	11.14070848	10.44034104	10.49988093	11.43631343	11.21379719	11.34271379	11.23962043	11.36673796	11.35460139	10.86207574	10.09510376	9.823979127	10.07156168	10.18355007	10.26554998	10.21106837	10.0133054	10.0577538	9.990272488	9.00477245
201924_at	7.952200276	7.916274961	7.545171559	9.43069957	9.030228314	9.152315291	8.125984007	8.016726999	7.991602566	7.908352941	9.445515458	9.64742749	8.548231881	9.944908303	9.921526466	9.912604472	9.697958164	9.728587071	9.663762466	8.802818022
201975_at	11.32389433	11.26824962	11.02146067	10.12164762	10.55362036	10.62514853	11.04553596	11.04590035	10.92385395	11.13777669	9.626863487	9.614598144	9.32410487	9.446018736	9.639357113	9.645281618	9.905293517	9.65162565	9.845231553	9.459408406
202007_at	5.867206995	4.917898795	4.804077517	4.173333047	5.299995191	5.271962649	5.066425334	4.309253625	4.588710653	5.196357715	2.967547673	3.02152985	4.314281021	2.917896453	2.771789338	3.164133767	3.17871892	3.025087757	3.320636148	3.003667493
202014_at	9.024018966	8.714366655	8.429932927	9.281491979	9.005438072	8.791237234	9.097466404	9.198206008	9.162152912	8.79445579	7.815298158	7.437035892	7.937579941	8.009434747	7.59617789	7.742408159	8.031024169	8.027785216	7.984126776	7.197875568
202082_s_at	9.642050888	10.10986969	10.02136892	10.69468766	10.53736496	10.51081147	9.778651444	9.82720005	9.744145249	9.513525695	11.11830309	11.63779198	10.9679317	11.33231847	11.18975643	11.32727699	11.21882172	11.26148672	11.25346877	10.93662902
202084_s_at	10.56243358	9.813108891	9.705660374	11.17792413	11.04568786	10.94745953	10.5372517	10.62576196	10.54517907	9.825212916	11.75311856	12.0231081	11.77685858	11.90727032	11.8011037	11.81582275	11.95362725	12.03220704	11.92470495	10.77467086
202191_s_at	9.400297012	10.04769803	9.922916958	9.691297808	9.562040964	9.501341907	9.765920336	9.648664296	9.645672879	8.898042637	7.347165265	7.587475729	7.097149775	7.881095906	7.866816393	7.759194452	7.997006157	8.064039582	7.97752591	6.308706747
202192_s_at	8.95401322	10.12223722	9.940648957	9.265305065	9.157436868	9.135668304	9.354869252	9.318954784	9.420705697	9.108579713	7.298972867	7.509109009	7.200487742	7.574375084	7.717357803	7.544431082	7.957783358	8.054116913	7.967000555	7.395532299
202206_at	9.55228419	9.025402885	8.95630079	9.44745131	9.529238429	9.460506814	9.607942788	9.532123778	9.652011682	9.127352451	8.298916197	7.894728275	6.955598061	8.411704509	8.433607772	8.389293766	8.062996219	8.167030622	8.021854715	7.72535197
202207_at	10.34987721	9.450739233	9.068004549	10.36359795	10.35179114	10.31937512	10.19230288	10.20352608	10.11748347	9.857263965	8.812289941	8.664900276	7.641626148	9.236658746	9.160838582	9.2293058	8.83613493	8.95085413	8.801387359	8.030176068
202208_s_at	9.746017902	9.426916146	9.364149873	9.851230035	9.729865028	9.644990092	9.454879827	9.580050577	9.525608577	9.492355936	8.636304876	8.427483976	8.078800218	9.007756661	8.796234872	8.624758381	8.313601141	8.553129447	8.472990553	8.241643189
202239_at	8.558851878	8.091357393	7.50049434	9.141810015	8.898649324	8.768203363	8.574064304	8.546363278	8.486610014	7.673116174	9.801483511	9.669377008	9.281590271	9.77258726	9.513583324	9.551100768	9.726556776	9.729722794	9.72256417	9.320457898
202245_at	10.97845762	11.14449927	11.17130991	11.55451998	11.36483485	11.28925329	11.03299582	11.14962726	11.05567305	10.95125569	9.862581687	9.8629351	10.47062523	10.59091906	10.3724475	10.30227926	9.98821615	10.05998613	9.917777377	9.725033801
202269_x_at	8.420308564	6.918108817	7.184223072	7.362292588	7.115598188	7.122669155	7.598382489	7.615048694	7.573239229	7.782227028	9.375568042	8.994628276	8.530348745	7.79557181	7.590534074	7.685953842	8.94052629	8.780595992	8.909251818	8.668216273
202270_at	9.086066015	7.997466607	7.590906659	7.129022405	7.440458415	7.465596453	8.246389509	8.254361231	8.203443855	9.027553165	9.964200278	9.284225774	9.542571831	8.261033271	8.308132316	8.310244004	9.693599813	9.569913725	9.798688864	9.935879842
